I,0,4,7
vi6,0,4,9
IV64,0,5,9
ii,2,5,9
vii06,2,5,11
V64,2,7,11
iii,4,7,11
I6,4,7,0
vi64,4,9,0
IV,5,9,0
ii6,5,9,2
vii064,5,11,2
V,7,11,2
iii6,7,11,4
I64,7,0,4
vi,9,0,4
IV64,9,0,5
ii64,9,2,5
vii0,11,2,5
V6,11,2,7
iii64,11,4,7
i,0,3,7
VI6,0,3,8
iv64,0,5,8
ii0,2,5,8
VII6,2,5,10
V64,2,7,10
III,3,7,10
i,3,7,0
VI64,3,8,0
iv,5,8,0
ii06,5,8,2
vii064,5,10,2
v,7,10,2
III6,7,10,4
i64,7,0,3
VI,8,0,3
iv6,8,0,5
ii064,8,2,5
VII,10,2,5
v6,10,2,7
iii64,10,3,7
I7,0,4,7,11
I65,4,7,11,0
I43,7,11,0,4
I42,11,0,4,7
ii7,2,5,9,0
ii65,5,9,0,2
ii43,9,0,2,5
ii42,0,2,5,9
iii7,4,7,11,2
iii65,7,11,2,4
iii43,11,2,4,7
iii42,2,4,7,11
IV7,5,9,0,4
IV65,9,0,4,5
IV43,0,4,5,9
IV42,4,5,9,0
V7,7,11,2,5
V65,11,2,5,7
V43,2,5,7,11
V42,5,7,11,2
vi7,9,0,4,7
vi65,0,4,7,9
vi43,4,7,9,0
vi42,7,9,0,4
viiø7,11,2,5,9
viiø65,2,5,9,11
viiø43,5,9,11,2
viiø42,9,11,2,5
i7,0,3,7,10
i65,3,7,10,0
i43,7,10,0,3
i42,10,0,3,7
iiø7,2,5,8,0
iiø65,5,8,0,2
iiø43,8,0,2,5
iiø42,0,2,5,8
III7,3,7,10,2
III65,7,10,2,3
III43,10,2,3,7
III42,2,3,7,10
iv7,5,8,0,3
iv65,8,0,3,5
iv43,0,3,5,8
iv42,3,5,8,0
v7,7,10,2,5
v65,10,2,5,7
v43,2,5,7,10
v42,5,7,10,2
VI7,8,0,3,7
VI65,0,3,7,8
VI43,3,7,8,0
VI42,7,8,0,3
VII7,10,2,5,8
VII65,2,5,8,10
VII43,5,8,10,2
VII42,8,10,2,5
vii07,11,2,5,8
vii065,2,5,8,11
vii043,5,8,11,2
vii042,8,11,2,5
N6,5,8,1
Ger+6,8,0,3,6
It+6,8,0,6
Sw+6,8,0,3,6
